cnpj_raiz;razao_social_ibama;uf;ultimo_rapp;escopo;detalhe_declarado
11473175;"RIVER CITY BIOTECNOLOGIA LTDA";GOIAS;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
90278284;"ROCHADEL COMÉRCIO E INDÚSTRIA DE COSMÉTICOS LTDA";RIO GRANDE DO SUL;2024;fora;"Fabricação de perfumarias e cosméticos"
64519192;"RODRIGUES, LOURENCO & PEREIRA LTDA.";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
01342361;"S.G.M INDUSTRIA DE COSMETICOS LTDA";RIO GRANDE DO SUL;2025;fora;"Fabricação de perfumarias e cosméticos"
10855649;"SACRATU KYPHI INDUSTRIA E COMERCIO LTDA.";SAO PAULO;2023;fora;"Fabricação de perfumarias e cosméticos"
61286647;"SANDOZ DO BRASIL INDUSTRIA FARMACÊUTICA LTDA";PARANA;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
10588595;"SANOFI MEDLEY FARMACEUTICA LTDA.";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários | Fabricação de perfumarias e cosméticos"
82116252;"SANTA TEREZINHA INDÚSTRIA E COMÉRCIO LTDA";SANTA CATARINA;2025;fora;"Fabricação de perfumarias e cosméticos"
04912615;"SANTINI INDUSTRIA E COMERCIO DE COSMETICOS LTDA";MINAS GERAIS;2025;fora;"Fabricação de perfumarias e cosméticos"
04099395;"SANTISA LABORATORIO FARMACEUTICO S/A";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
38407263;"SANTREVI INDUSTRIA E COMERCIO DE COSMETICOS IMPORTACAO E EXPORTACAO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
15392876;"SAVOY INDUSTRIA DE COSMETICOS S.A";GOIAS;2025;fora;"Fabricação de perfumarias e cosméticos"
03560974;"SCHERING PLOUGH INDÚSTRIA FARMACÊUTICA LTDA.";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
04842546;"SCHWAN COSMETICS DO BRASIL LTDA.";PARANA;2025;fora;"Fabricação de perfumarias e cosméticos"
02165992;"SCREMIN COSMÉTICOS LTDA.";PARANA;2024;fora;"Fabricação de perfumarias e cosméticos"
17071214;"SD INDUSTRIA COMERCIO E SERVIÇOS LTDA";CEARA;2024;fora;"Fabricação de perfumarias e cosméticos"
40498582;"SDK INDÚSTRIA DE COSMÉTICOS LTDA - EPP";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
11871237;"SEIVA DO CAMPO PRODUTOS DE BELEZA NATURAIS LTDA";GOIAS;2025;fora;"Fabricação de perfumarias e cosméticos"
70987482;"SEMEYA INSUMOS BOTANICOS SA";MINAS GERAIS;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
55163042;"SEMINA INDÚSTRIA E COMÉRCIO LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
50464692;"SESPO INDUSTRIA E COMERCIO LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
33348467;"SHALON FIOS CIRURGICOS LTDA";GOIAS;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
29503802;"SILIMED - INDÚSTRIA DE IMPLANTES LTDA";RIO DE JANEIRO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
06302732;"SKIN LAB INDUSTRIA E COMERCIO DE COSMETICOS LTDA";SAO PAULO;2023;fora;"Fabricação de perfumarias e cosméticos"
05025204;"SL INDUSTRIA E COMERCIO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
00859337;"SLIQ INDUSTRIAS QUIMICAS LTDA - ME";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
44015477;"SM EMPREENDIMENTOS FARMACEUTICOS LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
01182125;"SNC INDUSTRIA DE COSMETICOS LTDA";MINAS GERAIS;2024;fora;"Fabricação de perfumarias e cosméticos"
39257750;"SNF - COMERCIAL E INDUSTRIAL DE COSMETICOS E ALIMENTOS LTDA";SAO PAULO;2023;fora;"Fabricação de perfumarias e cosméticos"
05451985;"SOFISTICATTO IND. COM. E EXPORTAÇÃO DE COSMETICOS LTDA - EPP";GOIAS;2025;fora;"Fabricação de perfumarias e cosméticos"
